month_start,Authentication friction,Build/CI/installation/distribution release issues,Configuration friction,Integration failure/issues,Missing feature / enhancement request,Notification/Logging /Web UI Issues,Performance issue,Security concerns,Tedious Workflows,Unexpected behavior,User confusion / unclear documentation/documentation improvements
2021-11-01,56.1478757244279,91.18768177010791,80.19602393965035,58.454518086991776,79.83368409487835,90.54197297890956,35.61845240192507,28.24972965175554,9.6620087602624,47.70039220702258,82.18143351961086
2021-12-01,54.96775321563421,88.81937638191332,78.3653690938199,57.12898223344544,77.79108892125515,88.33154858056035,34.78310581073716,27.65852105944648,9.50337108941588,46.652236691292046,80.14747454787758
2022-01-01,53.812434657440456,86.51258007370488,76.57650306743378,55.83350471168488,75.80075483379649,86.17508783972885,33.967350298901486,27.079685243936648,9.347338043677452,45.62711306134532,78.16385528088689
2022-02-01,52.68139871756061,84.26569534587823,74.82847193658068,54.56740390807638,73.86134469964185,84.07127332780969,33.170726403969454,26.51296326851961,9.193866858476028,44.62451522075421,76.22932983024621
2022-03-01,51.574135021130495,82.07716618871933,73.12034355281106,53.330013665504225,71.97155559731873,82.01881977891958,32.39278543909797,25.958101615500233,9.042915471379372,43.64394819391644,74.3426831428233
2022-04-01,50.490143920403554,79.94547700483871,71.45120704606263,52.12068293287308,70.13011794142245,80.01647330470081,31.633089240333067,25.414852072786054,8.894442510565927,42.68492788168981,72.50273023758483
2022-05-01,49.42893626928706,77.86915155959186,69.8201723389338,50.93877542255835,68.33579462969193,78.06301062829355,30.89120991982034,24.88297162285186,8.748407283485866,41.74698082239566,70.70831546132392
2022-06-01,48.39003320261705,75.84675195875919,68.22636967204383,49.783669275624376,66.58738021190773,76.15723833700974,30.166729624803445,24.362222334028193,8.604769765708326,40.829643958074264,68.95831176280748
2022-07-01,47.37296592007269,73.8768776527773,66.66894914022873,48.65475673463435,64.88370008005495,74.29799215325103,29.45924030227453,23.8523712540648,8.463490589951771,39.93246440587616,67.25161998488815
2022-08-01,46.37727547463215,71.95816446683226,65.14708023932383,47.55144382387944,63.22360967920576,72.48413622322664,28.768343469144288,23.35319030592173,8.324531035294429,39.05499923447721,65.58716817413678
2022-09-01,45.40251256547497,70.08928365614301,63.6599514232921,46.47315003685952,61.605993738592254,70.71456242303549,28.09364998780219,22.864456185741155,8.187853016561933,38.196815245406285,63.96391090756053
2022-10-01,44.44823733523693,68.26894098578069,62.20676967146266,45.41930803085034,60.02976552235261,68.9881896816896,27.434779846940376,22.38595026295459,8.05341907388915,37.35748875917839,62.38082863598473
2022-11-01,43.51401917152647,66.49587583438691,60.78676006564705,44.389363328397025,58.49386609944779,67.30396332066397,26.791361947517725,21.917458482480516,7.921192362453419,36.53660540612683,60.836927043686075
2022-12-01,42.599436512612854,64.76886032116963,59.39916537690978,43.382774025576666,56.9972636322574,65.66085440957083,26.163033893743812,21.45877126896892,7.791136642376355,35.73375992183197,59.33123642387399
2023-01-01,41.70407665719823,63.08669845557285,58.04324566177086,42.39901050687615,55.53895268337758,64.05785913756391,25.549441788964693,21.009683433049716,7.663216268791432,34.94855594704484,57.862811069629345
2023-02-01,40.82753557818809,61.448225309030825,56.71827786762673,41.43755516653593,54.11795354015463,62.49399820008831,24.95024003633571,20.56999407954327,7.537396182074679,34.180605832007416,56.43072867991668
2023-03-01,39.96941774037585,59.85230620823317,55.42355544717779,40.497902136212325,52.73331155650132,60.96831620060235,24.36509114416917,20.13950651759179,7.413641898235745,33.42953044507263,55.034089780297414
