month_start,Authentication friction,Build/CI/installation/distribution release issues,Configuration friction,Integration failure/issues,Missing feature / enhancement request,Notification/Logging /Web UI Issues,Performance issue,Security concerns,Tedious Workflows,Unexpected behavior,User confusion / unclear documentation
2021-11-01,7.687621833414327,8.505847038444362,11.374868046527496,21.664029747384777,59.607372174809754,16.776537329592955,3.186483488687544,9.964797407050808,14.943179059906956,23.30340153404689,35.62883464599768
2021-12-01,7.457726142002771,8.343032143709813,11.157522042398677,21.19618728727981,57.69280700200811,16.416965165827033,3.117784518305646,9.645643524904193,14.524836010512788,22.800371267146453,34.68111521604857
2022-01-01,7.234705402309036,8.183333774563797,10.944328990666094,20.738448052199427,55.83973690384514,16.065099725946702,3.0505666629360446,9.336711546558368,14.118204719792912,22.30819947723908,33.758604921532225
2022-02-01,7.018354021262492,8.02669227594981,10.735209538531556,20.29059385939067,54.046186682892994,15.720775831445284,2.9847979904891124,9.037674083492758,13.722957310204144,21.82665177182326,32.86063320480347
2022-03-01,6.808472553982692,7.873049134700188,10.53008584943542,19.852411237835057,52.31024458428239,15.38383184409334,2.920447257314901,8.748214232830698,13.338775083327144,21.355498818024557,31.98654734490793
2022-04-01,6.604867519919865,7.72234695767861,10.328881574085,19.423691326496986,50.63006025795294,15.05410959005977,2.8574838933607363,8.468025241503826,12.965348262891466,20.89451623337794,31.13571198312992
2022-05-01,6.407351224493646,7.574529450340969,10.131521822036488,19.004229774769527,49.00384278635486,14.731454285659222,2.795877987648795,8.196810181172625,12.602375744994784,20.443484478967505,30.307508661160572
2022-06-01,6.215741586065656,7.429541395706666,9.93793313381994,18.593826645070106,47.42985877550041,14.415714464690954,2.7356002740667935,7.93428163355869,12.249564855314857,20.002188754873096,29.501335371550628
2022-07-01,6.029861968086387,7.287328633732386,9.748043453596832,18.19228631753963,45.90643050732977,14.10674190733508,2.676622117465005,7.680161385855199,11.906631113118497,19.570418897873612,28.71660612012101
2022-08-01,5.849541016261708,7.1478380410807,9.561782102340086,17.799417396799754,44.43193415142238,13.804391570572772,2.6189155000530313,7.434180135892822,11.573298001877273,19.147969281358716,27.952750500013288
2022-09-01,5.674612500588808,7.011017511275948,9.379079751526572,17.415032620723686,43.00479803414731,13.508521520097748,2.562453008089848,7.196077206748607,11.24929674630489,18.73463871740088,27.209213277070223
2022-10-01,5.504915162116043,6.8768159352399385,9.199868397332256,17.038948771177132,41.62350096340776,13.21899286368711,2.507207818860803,6.965600270495439,10.934366095636609,18.33023036094147,26.485453986245226
2022-11-01,5.34029256428535,6.745183182200245,9.024081335320435,16.67098658668686,40.28657060719432,12.935669686000264,2.4531536879353903,6.742505080799245,10.62825211297586,17.934551616044963,25.780946538747013
