category,month_start,expected_count
Authentication friction,2021-11-01,7.687621833414327
Build/CI/installation/distribution release issues,2021-11-01,8.505847038444362
Configuration friction,2021-11-01,11.374868046527496
Integration failure/issues,2021-11-01,21.664029747384777
Missing feature / enhancement request,2021-11-01,59.607372174809754
Notification/Logging /Web UI Issues,2021-11-01,16.776537329592955
Performance issue,2021-11-01,3.186483488687544
Security concerns,2021-11-01,9.964797407050808
Tedious Workflows,2021-11-01,14.943179059906956
Unexpected behavior,2021-11-01,23.30340153404689
User confusion / unclear documentation,2021-11-01,35.62883464599768
Authentication friction,2021-12-01,7.457726142002771
Build/CI/installation/distribution release issues,2021-12-01,8.343032143709813
Configuration friction,2021-12-01,11.157522042398677
Integration failure/issues,2021-12-01,21.19618728727981
Missing feature / enhancement request,2021-12-01,57.69280700200811
Notification/Logging /Web UI Issues,2021-12-01,16.416965165827033
Performance issue,2021-12-01,3.117784518305646
Security concerns,2021-12-01,9.645643524904193
Tedious Workflows,2021-12-01,14.524836010512788
Unexpected behavior,2021-12-01,22.800371267146453
User confusion / unclear documentation,2021-12-01,34.68111521604857
Authentication friction,2022-01-01,7.234705402309036
Build/CI/installation/distribution release issues,2022-01-01,8.183333774563797
Configuration friction,2022-01-01,10.944328990666094
Integration failure/issues,2022-01-01,20.738448052199427
Missing feature / enhancement request,2022-01-01,55.83973690384514
Notification/Logging /Web UI Issues,2022-01-01,16.065099725946702
Performance issue,2022-01-01,3.0505666629360446
Security concerns,2022-01-01,9.336711546558368
Tedious Workflows,2022-01-01,14.118204719792912
Unexpected behavior,2022-01-01,22.30819947723908
User confusion / unclear documentation,2022-01-01,33.758604921532225
Authentication friction,2022-02-01,7.018354021262492
Build/CI/installation/distribution release issues,2022-02-01,8.02669227594981
Configuration friction,2022-02-01,10.735209538531556
Integration failure/issues,2022-02-01,20.29059385939067
Missing feature / enhancement request,2022-02-01,54.046186682892994
Notification/Logging /Web UI Issues,2022-02-01,15.720775831445284
Performance issue,2022-02-01,2.9847979904891124
Security concerns,2022-02-01,9.037674083492758
Tedious Workflows,2022-02-01,13.722957310204144
Unexpected behavior,2022-02-01,21.82665177182326
User confusion / unclear documentation,2022-02-01,32.86063320480347
Authentication friction,2022-03-01,6.808472553982692
Build/CI/installation/distribution release issues,2022-03-01,7.873049134700188
Configuration friction,2022-03-01,10.53008584943542
Integration failure/issues,2022-03-01,19.852411237835057
Missing feature / enhancement request,2022-03-01,52.31024458428239
Notification/Logging /Web UI Issues,2022-03-01,15.38383184409334
Performance issue,2022-03-01,2.920447257314901
Security concerns,2022-03-01,8.748214232830698
Tedious Workflows,2022-03-01,13.338775083327144
Unexpected behavior,2022-03-01,21.355498818024557
User confusion / unclear documentation,2022-03-01,31.98654734490793
Authentication friction,2022-04-01,6.604867519919865
Build/CI/installation/distribution release issues,2022-04-01,7.72234695767861
Configuration friction,2022-04-01,10.328881574085
Integration failure/issues,2022-04-01,19.423691326496986
Missing feature / enhancement request,2022-04-01,50.63006025795294
Notification/Logging /Web UI Issues,2022-04-01,15.05410959005977
Performance issue,2022-04-01,2.8574838933607363
Security concerns,2022-04-01,8.468025241503826
Tedious Workflows,2022-04-01,12.965348262891466
Unexpected behavior,2022-04-01,20.89451623337794
User confusion / unclear documentation,2022-04-01,31.13571198312992
Authentication friction,2022-05-01,6.407351224493646
Build/CI/installation/distribution release issues,2022-05-01,7.574529450340969
Configuration friction,2022-05-01,10.131521822036488
Integration failure/issues,2022-05-01,19.004229774769527
Missing feature / enhancement request,2022-05-01,49.00384278635486
Notification/Logging /Web UI Issues,2022-05-01,14.731454285659222
Performance issue,2022-05-01,2.795877987648795
Security concerns,2022-05-01,8.196810181172625
Tedious Workflows,2022-05-01,12.602375744994784
Unexpected behavior,2022-05-01,20.443484478967505
User confusion / unclear documentation,2022-05-01,30.307508661160572
Authentication friction,2022-06-01,6.215741586065656
Build/CI/installation/distribution release issues,2022-06-01,7.429541395706666
Configuration friction,2022-06-01,9.93793313381994
Integration failure/issues,2022-06-01,18.593826645070106
Missing feature / enhancement request,2022-06-01,47.42985877550041
Notification/Logging /Web UI Issues,2022-06-01,14.415714464690954
Performance issue,2022-06-01,2.7356002740667935
Security concerns,2022-06-01,7.93428163355869
Tedious Workflows,2022-06-01,12.249564855314857
Unexpected behavior,2022-06-01,20.002188754873096
User confusion / unclear documentation,2022-06-01,29.501335371550628
Authentication friction,2022-07-01,6.029861968086387
Build/CI/installation/distribution release issues,2022-07-01,7.287328633732386
Configuration friction,2022-07-01,9.748043453596832
Integration failure/issues,2022-07-01,18.19228631753963
Missing feature / enhancement request,2022-07-01,45.90643050732977
Notification/Logging /Web UI Issues,2022-07-01,14.10674190733508
Performance issue,2022-07-01,2.676622117465005
Security concerns,2022-07-01,7.680161385855199
Tedious Workflows,2022-07-01,11.906631113118497
Unexpected behavior,2022-07-01,19.570418897873612
User confusion / unclear documentation,2022-07-01,28.71660612012101
Authentication friction,2022-08-01,5.849541016261708
Build/CI/installation/distribution release issues,2022-08-01,7.1478380410807
Configuration friction,2022-08-01,9.561782102340086
Integration failure/issues,2022-08-01,17.799417396799754
Missing feature / enhancement request,2022-08-01,44.43193415142238
Notification/Logging /Web UI Issues,2022-08-01,13.804391570572772
Performance issue,2022-08-01,2.6189155000530313
Security concerns,2022-08-01,7.434180135892822
Tedious Workflows,2022-08-01,11.573298001877273
Unexpected behavior,2022-08-01,19.147969281358716
User confusion / unclear documentation,2022-08-01,27.952750500013288
Authentication friction,2022-09-01,5.674612500588808
Build/CI/installation/distribution release issues,2022-09-01,7.011017511275948
Configuration friction,2022-09-01,9.379079751526572
Integration failure/issues,2022-09-01,17.415032620723686
Missing feature / enhancement request,2022-09-01,43.00479803414731
Notification/Logging /Web UI Issues,2022-09-01,13.508521520097748
Performance issue,2022-09-01,2.562453008089848
Security concerns,2022-09-01,7.196077206748607
Tedious Workflows,2022-09-01,11.24929674630489
Unexpected behavior,2022-09-01,18.73463871740088
User confusion / unclear documentation,2022-09-01,27.209213277070223
Authentication friction,2022-10-01,5.504915162116043
Build/CI/installation/distribution release issues,2022-10-01,6.8768159352399385
Configuration friction,2022-10-01,9.199868397332256
Integration failure/issues,2022-10-01,17.038948771177132
